Company Name,Headcount,Employee Size,Industry,Product and Services,Description,SEO Description,Website,LinkedIn,X (Twitter),Facebook,Instagram,Company Type,Number of Locations,Primary Company Phone,Founding Year,Annual Revenue,Total Funding,Last Funding Type,Last Funding Amount,Last Funding Date,AI Ark Account ID,Company Store?,Store URL,Signal
FieldCore,4975,10001+,it services and it consulting,"field engineering, renewable energy, oil & gas, distributed power, installation & construction, rotating equipment, static equipment","GE Vernova is a planned, purpose-built global energy company that includes Power, Wind, and Electrification businesses and is supported by its accelerator businesses of Advanced Research, Consulting Services, and Financial Services. GE Vernova’s Gas Power business engineers advanced, efficient natural gas-powered technologies and services, along with decarbonization solutions that aim to help electrify a lower carbon future. 

As part of the Gas Power One Field Services team, we install, maintain, and upgrade power generation equipment, enabling operators of the world’s energy infrastructure to provide more reliable and affordable energy.","Our customers deserve a field services partner that helps them maximize performance, minimize risk, and consistently deliver high-quality field service solutions. That’s the blueprint for FieldCore. We set the global standard for world-class execution.",fieldcore.com,https://www.linkedin.com/company/fieldcorefieldservices,,https://www.facebook.com/WeAreFieldCore,,PUBLIC_COMPANY,0,,2017,500000000-999999999,,,,,58aa1312-3b01-6a9f-fe73-ff18d9c465bf,No,,no separate store detected
Pratt Industries,4959,10001+,packaging and containers manufacturing,"full service recycling, paper manufacturing, sheet manufacturing, corrugated boxes, point of sale displays, retail ready products, logistics, packaging supplies","Pratt Industries is a leading manufacturer of sustainable corrugated packaging  and display solutions. Founded more than 30 years ago, the company has shown dramatic growth with state-of-the-art facilities in 25 states and Mexico. Pratt is America’s fifth largest corrugated packaging company and the world’s largest, privately-held producer of 100% recycled paper, with more than 10,000 highly-skilled, green-collar employees dedicated to the environment and sustainability. 

The Georgia-based company operates an extensive Recycling Company to supply six of the most modern, cost-effective 100% recycled paper mills –  in Conyers, GA, New York City, NY, Valparaiso, IN , Shreveport, LA, Wapakoneta, OH and Henderson, KY.

Pratt is dedicated to the sustainability of the environment, its customers and its people. The cornerstone of Pratt’s mission is to protect and nurture the planet’s natural resources while reducing our impact on the environment by “Harvesting the Urban Forest.” By doing so the company also seeks to help its customers meet their environmental goals.


Pratt Industries provides equal employment opportunities to applicants and employees without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability.",,prattindustries.com,https://www.linkedin.com/company/pratt-industries,https://x.com/prattindustries,https://www.facebook.com/prattindustries,,PRIVATELY_HELD,0,,1987,100000000-499999999,,,,,ad8e55b7-3356-4a71-dea2-e65d931ff30d,No,,no separate store detected
The Mosaic Company,4954,10001+,mining,"agriculture, crop nutrition, fertilizer, mining, phosphate, potash","The Mosaic Company (NYSE: MOS) helps the world grow the food it needs. Headquartered in Tampa, Florida, Mosaic is a leading producer and marketer of potash and phosphate fertilizer which are essential inputs for the world’s farmers. Through the Mosaic Biosciences platform, the company is advancing the next generation of biological solutions designed to improve nutrient use efficiency, strengthen crop performance, and support more sustainable agricultural systems. As a Fortune 500 company with 13,000 employees serving customers in more than 40 countries, Mosaic is helping build resilient and productive food systems for the future. More information on the company is available at www.mosaicco.com.",The Mosaic Company mines and processes phosphate and potash minerals into crop nutrients to help feed the world.,mosaicco.com,https://www.linkedin.com/company/mosaiccompany,https://x.com/MosaicCompany,http://www.facebook.com/mosaiccompany,,PUBLIC_COMPANY,0,,2004,100000000-499999999,900000000,POST_IPO_DEBT,900000000,2025-11-13,07464e47-07c6-7efb-94eb-e69a90b79ed7,No,,no separate store detected
GCC,4873,1001-5000,construction,"manufacturing, building, portland cement, ready-mix, concrete, construction","GCC is a leading producer of cement, ready-mix concrete, aggregates and innovative solutions for the construction industry. Our operations include facilities in 15 states across the center of the U.S. We focus on our customers and driving the market.
Our Mission:  To be the supplier of choice in cement, concrete products and innovative solutions.
Our Vision: Our customers recognize us as a business partner that generates the most value to their construction projects. We are a growing company, a great place to work and a solid investment for our shareholders.","GCC produces cement, concrete, aggregates and innovative products for the construction industries in Mexico, the United States, Latin America and Canada. Lets build a more sustainable world together.",gcc.com,https://www.linkedin.com/company/gccusa,,,,PUBLIC_COMPANY,0,+1 303 739 5900,1941,100000000-499999999,,,,,ec2217ab-818e-c03f-f9ac-14e13d0c49ba,No,,no separate store detected
Fidelity National Title,4832,5001-10000,real estate,"escrow, commercial real estate, cre, closing services, underwriting, insurance, title insurance, real estate, 1031 exchange","Fidelity National Title’s National Commercial Services division has more than 165 years of underwriting experience. Our centralized team of industry experts provides commercial and industrial developers, builders, lenders, attorneys, and other real estate professionals with reliable, integrated, high-liability services nationwide. We have built a reputation for efficiency in processing the most complex real estate transactions. Fidelity National Title can assist you with every phase of your transaction or development. Dedication to serving the needs and alleviating the concerns of our customers has made Fidelity National Title the nation’s foremost name in title insurance.

We provide the following:
Proforma Policies, Commitments, and Title Insurance Policies • Trustee Sale Guarantees/Litigation Guarantees • National Coordination • Acquisition, Disposition, Refinance, Loan Modification and Construction Loan Services • Electronic Delivery of Prelims with Hyperlinked Documents and Plotted Easements • Commercial and Sale-Out Escrow/Settlement Services • Subdivision Mapping Services/Parcel Maps/Lot Line Adjustments • DRE Processing • Tract Sale-Out Title Processing • SubEscrow Services/Payoffs and Wire Transfers • Underwriting and Technical Support • Re-Insurance and Co-Insurance • Customer Service/CommercialPro247 • Wind and Energy Projects",,fntic.com,https://www.linkedin.com/company/fidelitynationaltitle-ncs,,,,PUBLIC_COMPANY,0,+1 800 815 3969,1848,100000000-499999999,,,,,6089f6d9-91d6-d75c-f8dc-f9536c849dd3,No,,no separate store detected
Los Angeles Department of Water and Power,4823,5001-10000,utilities,"electricity, water, customer service","The Los Angeles Department of Water and Power (LADWP), the largest municipal utility in the United States, was established more than 100 years ago to deliver reliable, safe water and electricity supplies to some 3.8 million residents and businesses in the city of Los Angeles. 

Policy: LADWP.com/SocialMedia
Comments containing any of the following are subject to potential removal and/or restriction by the City:

Off-topic comments, including comments outside the jurisdiction of the City (or specific Department sites) or unrelated to the original post
Obscene content
Threats to any person or organization
Solicitation of commerce, including but not limited to advertising of any business or product for sale
Conduct in violation of any federal, state, or local law
Encouragement of illegal activity or violence
Information that may tend to compromise the safety or security of the public or public systems
Content that violates the privacy or security of an individual or a legal ownership interest -- such as a copyright – of any party.","Los Angeles Department of Water and Power. Building a stronger LA through service, innovation and opportunity.",ladwp.com,https://www.linkedin.com/company/los-angeles-department-of-water-and-power,https://x.com/ladwp_gm,,,GOVERNMENT_AGENCY,0,+1 800 499 8840,1902,100000000-499999999,,,,,9b08cb9c-65c7-bfba-4051-b113637b6f4c,No,,no separate store detected
NYC Department of Parks & Recreation,4813,5001-10000,government administration,"new york city parks, architecture, recreation, construction, sports, forestry management, fitness, natural resources management, environment, planning, landscape design","The New York City Department of Parks & Recreation is New York City's principal provider of recreational and athletic facilities and programs. Our parks are home to free concerts, world-class sports events, and cultural festivals. Parks & Recreation is the steward of nearly 14 percent of New York City's land, including thousands of individual properties ranging from Coney Island Beach and Central Park to community gardens and Greenstreets. We operate athletic fields, playgrounds, tennis courts, public pools, recreational facilities, nature centers, golf courses, and beaches throughout the five boroughs. We also care for monuments and historic house museums and look after hundreds of thousands of street trees (even more within parks).","The official website of the City of New York. Find information about important alerts, 311 services, news, programs, events, government employment, the office of the Mayor and elected officials.",nycgovparks.org,https://www.linkedin.com/company/nycparks,https://x.com/nycparks,https://www.facebook.com/nycparks,,GOVERNMENT_AGENCY,0,,1870,100000000-499999999,,,,,99163c3c-f0d6-56b9-4463-da5f2da9ab52,No,,no separate store detected
Graco,4810,1001-5000,machinery manufacturing,"contractor equipment, lubrication equipment, finishing equipment, protective coating equipment, process equipment, sealant and adhesive equipment","Graco began with two brothers in a garage and a relentless pursuit of better solutions. Nearly a century later, we design and manufacture thousands of fluid handling products that keep industries moving—from the paint that makes a house a home to the food that fuels your day.

Our customers span homeowners, contractors, service centers, and manufacturers in automotive, aerospace, packaging, and more. Whether it’s a weekend DIY project, a professional job site, or a global production line, Graco delivers reliability, efficiency, and innovation.","Graco is one of the world’s leading suppliers of fluid management products and packages. We manufacture equipment to move, measure, mix, control, dispense and spray fluids that are part of your daily life.",graco.com,https://www.linkedin.com/company/gracoinc,https://x.com/gracoinc,,,PUBLIC_COMPANY,0,+1 612 623 6000,1926,100000000-499999999,,,,,a20587c6-e5ad-0f2c-f368-d52b37c24f19,No,,no separate store detected
BrandSafway,4802,10001+,construction,"power generation, commercial construction, oil and gas, civil and infrastructure, scaffold and access, forming and shoring, specialty industrial services, support services, brandnet® digital planning and management, quikdeck® suspended access system, spider® powered suspended access solutions, haki® platforms and weather protection","With a commitment to safety as its foremost value, BrandSafway provides the broadest range of solutions with the greatest depth of expertise to the industrial, commercial and infrastructure markets. Through a network of 340 strategic locations across 25 countries and more than 38,000 employees, BrandSafway delivers a full range of forming, shoring, scaffolding, work access and industrial service solutions. BrandSafway supports maintenance and refurbishment projects as well as new construction and expansion plans with unmatched service from expert local labor and management. Today’s BrandSafway is At Work For You™ — leveraging innovation and economies of scale to increase safety and productivity, while remaining nimble and responsive.",,brandsafway.com,https://www.linkedin.com/company/brandsafway,https://x.com/brandsafway,https://www.facebook.com/BrandSafway,,PRIVATELY_HELD,0,,1936,100000000-499999999,,,,,aef1a94f-7ec5-bd4c-7467-644f8092ffa9,No,,no separate store detected
PAE,4788,10001+,international trade and development,"global missions, training, logistics, operations and maintenance services, stabilization, peacekeeping, national security, reconstruction missions, expeditionary construction, justice training","Since 1955, PAE has been a critical partner of the U.S. government and its allies on a global scale. With more than $2.7 billion in annual revenue, a workforce of more than 20,000, an operational presence in approximately 60 countries and a persistent presence on all seven continents, PAE delivers smart, secure, mission-critical operational support, information analysis and business process services. Our diverse workforce and innovative leadership offer a breadth of experience and commitment to excellence that spans the globe. Our international headquarters is in Falls Church, Virginia.",,amentum.com,https://www.linkedin.com/company/pae,https://x.com/pae_company,https://www.facebook.com/paegroup,,PUBLIC_COMPANY,0,,1955,100000000-499999999,220000000,POST_IPO_EQUITY,220000000,2020-02-10,f94b3000-f410-4151-2db2-3ccaa36aa58c,No,,no separate store detected
